downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
twobody,``integer``,``-6``,Selects the functional form for the one-body and two-body Jastrow factors. See the wave-function format description for details.,"Type of the Jastrow 2B/1B term used to satisfy the electron-electron, electron-ion cusp conditions.","Switch of Jastrow factor (INTEGER). For all electron calculation, we recommend -15 (spin-independent) or -22 (spin-dependent). In this tutorial, we employ -15.","! twobody=-6    ! J. two body type, see manual. (-9: the jastrowsz is added)","! two body number, if it is  =-9 the jastrowsz is added",electrons,makefort10.x,makefort10_03,makefort10_22,makefort10.f90:2187,
twobodypar(AMDNone),"``double precision, allocatable :: twobodypar(:)``",".. code-block:: fortran

    allocate (twobodypar(2))
    twobodypar(:) = 1.0d0
",Selects the initial values for the two-body Jastrow factor.,"Twobody parameter, p",Variational parameter of two-body Jastrow factor (Float). b_{ee} in Eq.33 of the review paper. we recommend 1.00 as the initial value.,! twobodypar=1.0  ! value of the two body parameter,! two body parameter,electrons,makefort10.x,makefort10_04,makefort10_23,makefort10.f90:2414 -- 2417,
filling,``character(20) :: filling``,"``""diagonal""``
","filling = diagonal: Fill the initial detmat(:,:) and jasmat(:,:) with 1.d0 on the diagonal. filling = random: Fill with random numbers between (0,1.d0). filling = semidiagonal: Fill off-diagonal elements with random numbers between (0,0.1d0) and diagonal elements with 1.d0.","filling = diagonal: Fill the initial detmat(:,:) and jasmat(:,:) with 1.d0 on the diagonal. filling = random: Fill with random numbers between (0,1.d0). filling = semidiagonal: Fill off-diagonal elements with random numbers between (0,0.1d0) and diagonal elements with 1.d0.",None,"! filling=""diagonal""   ! diagonal/random/semidiagonal",".. code-block:: text

    ! how to fill the initial detmat(:,:)
    ! ""diagonal"" fill the diagonal with 1.d0
    ! ""random"" fill with random number between (0,1.d0)
    ! ""semidiagonal"" fill with random number between (0,0.1d0) off-diagonal
    !                and with 1.d0 the diagonal
    ! not used if readatoms=.true.

     filling=""diagonal""
",electrons,makefort10.x,makefort10_01,makefort10_24,"makefort10.f90:2190, 219",
noonebody,``logical``,``.false.``,Not used.,None,None,! noonebody=.false. ! default .false.;  if .true.: no onebody term,".. code-block:: text

    ! if it is .true. do not put the onebody term
    ! default .false.
     noonebody=.false.
",electrons,makefort10.x,None,makefort10_25,makefort10.f90:2191,
readatoms,``logical``,``.false.``,Not used.,None,None,! readatoms=.false. ! default=.false. ; if .true. see README,".. code-block:: text

    ! if readatoms=.true. atomic WF specified in the section ATOMIC_WF are
    ! read for each atom, and detmat(:,:) is builded from them
    ! in this case filling is not necessary
    ! neither the section ATOMIC_ORBITALS and JASTROW_ORBITALS
    ! default=.false.

    readatoms=.false.
",electrons,makefort10.x,None,makefort10_26,makefort10.f90:2192,
orbtype,``character(20) :: orbtype``,"``""normal""``","orbtype = normal: Use normal orbitals. orbtype = mixed: Use mixed orbitals. orbtype = tempered: Use tempered orbitals. The same applies for Jastrow orbitals with jorbtype.
",orbtype = normal: Use normal orbitals. orbtype = mixed: Use mixed orbitals. orbtype = tempered: Use tempered orbitals. The same applies for Jastrow orbitals with jorbtype.,None,"orbtype=""mixed""        ! ""mixed""/""tempered""/""normal""",".. code-block:: text

    ! use orbtype to create different orbitals default ""normal""
    orbtype= (normal | mixed | tempered )
    ! the same but for Jastrow orbitals with orbtype
",electrons,makefort10.x,makefort10_02,makefort10_27,makefort10.f90:2193,
nel,``integer``,"``sum(zeta(2, 1:natoms))``
","Total number of electrons (sum of spin-up and spin-down). If not specified, it is assumed to be equal to the total nuclear charge (i.e., net charge zero).",None,None,! nel = 2    ! number of electrons in the primitive cell,! number of electrons in the primitive cell,electrons,makefort10.x,None,makefort10_28,"makefort10.f90:2156, 2875",
neldiff,``integer``,"By default, the code determines the spin multiplicity from the total number of electrons nel (typically singlet, doublet, or triplet). To set a higher-spin state, you must provide an explicit input value.","In Pfaffian mode (ipf == 2), the file format stores the total electron count with a negative sign (i.e., -nel). Therefore, do not specify neldiff directly as nelup − neldown. Instead, set neldiff from the parity of nel: use neldiff = 0 for even nel (closed-shell) and neldiff = 1 for odd nel (one unpaired electron). For higher-spin states, adjust the number of unpaired electrons accordingly (e.g., neldiff = 2 for two unpaired electrons, neldiff = 3 for three, etc.).",The difference in the number of up and down electrons.,Difference between the number of spin-up electrons and the number of spin-down electrons (INTEGER).,None,".. code-block:: text

    ! difference between the total number of electrons up and down
     neldiff=1  ! neldiff >=0 is assumed in input, i.e. neldiff=1 Total Sz=1/2 sector
",electrons,makefort10.x,makefort10_09,makefort10_29,"makefort10.f90:2157, 1340 -- 1376",
numpaired,``integer``,``0``,Not used.,None,None,None,None,electrons,makefort10.x,None,makefort10_30,makefort10.f90:2158,
jorbtype,``character(20) :: jorbtype``,"``""normal""``",Not used.,None,None,"jorbtype=""tempered""    ! ""mixed""/""tempered""/""normal""",None,electrons,makefort10.x,None,makefort10_31,makefort10.f90:2194,
onlycontrdet,``logical``,``.false.``,Not used.,None,None,".. code-block:: text

    ! onlycontrdet=.false.  ! default is .false.;
    if true put minus sign to the zeta in fort.10
    use to optimize only the contraction coeff. in det
",".. code-block:: text

    ! if this flas is true put minus sign to the zeta in fort.10
    ! useful to optimize only the contraction coefficients in det
    ! default is .false.
    onlycontrdet=.false.
",electrons,makefort10.x,None,makefort10_32,makefort10.f90:2201,
onlycontrjas,``logical``,``.false.``,Not used.,None,None,".. code-block:: text

    ! onlycontrjas=.false.  ! default is .false.;
    if true put minus sign to the zeta in fort.10
    use to optimize only the contraction coeff. in jas
",".. code-block:: text

    ! if this flas is true put minus sign to the zeta in fort.10
    ! useful to optimize only the contraction coefficients in jas
    onlycontrjas=.false.
",electrons,makefort10.x,None,makefort10_33,makefort10.f90:2202,
shiftbeta,``integer``,shiftbeta = ``1`` ! default value for shiftbeta,Not used.,None,None,".. code-block:: text

    ! shiftbeta=1     ! if beta< 0 in tempered basis  change beta by
    using the maximum Z in input according to
    alpha*beta*(n-shiftbeta)=Z_max ( -beta in input)",None,electrons,makefort10.x,None,makefort10_34,makefort10.f90:2406,
readunpaired,``logical``,``.false.``,Not used.,None,None,None,None,electrons,makefort10.x,None,makefort10_35,makefort10.f90:2215,
vecpbc,``integer :: vecpbc(3)``,"- vecpbc(1:3) = 1 if apbc(1:3) is .true.
- vecpbc(1:3) = 0 if apbc(1:3) is .false.",Not used.,None,None,None,None,electrons,makefort10.x,None,makefort10_36,"makefort10.f90:2220, 259 -- 272",
yesbump,``logical``,yesbump = ``.false.`` ! default value for yesbump,Not used.,None,None,None,None,electrons,makefort10.x,None,makefort10_37,makefort10.f90:2408,
"onebodypar(PORT, AMDNone)","``double precision, allocatable :: onebodypar(:)``","allocate (onebodypar(ntyp))
onebodypar = 0.0d0
",Selects the initial values for the two-body Jastrow factor.,"Onebody parameter, b",Variational Parameter of one-body Jastrow factor (Float). b_{ea} in Eq.31 of the review paper. The suitable initial value depends on the largest exponent of an employed basis set. See later.,! onebodypar=0.0  ! value of the one  body parameter when cusp are present (no pseudo),None,electrons,makefort10.x,None,makefort10_38,makefort10.f90:2416--2418,
niesd,``integer``,"- ignore input value
- niesd must equal to ``n_onebody + n_twobody``
- otherwise program fails",Not used.,None,None,None,None,electrons,makefort10.x,None,makefort10_39,"makefort10.f90:2195, 1492 -- 1506",
yes_crystal,``logical``,"- ``.true.`` if no input
- ignore input

  + ``.true.`` if complexfort10 is .true. and pbcfort10 is .true.","When periodic boundary conditions are enabled, controls whether CRYSTAL BASIS is used for the determinant orbitals. If not used, the periodic boundary conditions are real-valued.",Use the crystal basis for the determinant part. The default is .true. for a PBC case.,None,None,yes_crystal=.false. ! if true uses standard Crystal basis with periodised atomic orbitals using several images until convergence.,electrons,makefort10.x,makefort10_06,makefort10_40,"makefort10.f90:2409, 2460 -- 2464",
yes_crystalj,``logical``,``.false.``,"When periodic boundary conditions are enabled, controls whether CRYSTAL BASIS is used for the Jastrow orbitals. If not used, the periodic boundary conditions are real-valued.","Use the crystal basis for the jastrow part. The default is .true. for a PBC case.
となっているが、プログラムではデフォルトが.false.
",None,None,yes_crystalj=.true. ! if true as above for the Jastrow basis.,electrons,makefort10.x,makefort10_07,makefort10_41,makefort10.f90:2410,
no_4body_jas,``logical``,``.false.``,"For the three-body/four-body part of the Jastrow factor, controls whether the four-body terms—i.e., Jastrow factors for electron pairs belonging to different atoms—are enabled.",Does not use the 4-body jastrow factors when it is true.,"No four-body Jastrow factor (BOOLEAN). Indeed, if this is true, M in Eq.34 of the review paper is set zero for a \neq b.",None,None,electrons,makefort10.x,makefort10_08,makefort10_42,makefort10.f90:2411,
nopseudo,``logical``,``.false.``,Not used.,None,None,None,None,electrons,makefort10.x,None,makefort10_43,makefort10.f90:2412,
scale_jasfat,``real*8``,``0.d0``,Not used.,None,None,None,None,electrons,makefort10.x,None,makefort10_44,makefort10.f90:2419,
nosym,``logical``,``.false.``,"If true, disables all symmetry operations.","If nosym = .true., do not use symmetry, but only identity and inversion symmetries. The default is .false..",None,! nosym=.false.  ! default .false.; if .true. do not use point group symmetries,".. code-block:: text

     nosym=.false.
    ! if it is .true. do not  use symmetry, but just identity and inversion
    ! you have to provide a cell with inversion symmetry!!
    ! default .false.
",symmetries,makefort10.x,makefort10_01,makefort10_45,makefort10.f90:2208,
notra,``logical``,``.false.``,"If true, disables translational symmetry.",None,None,"! notra=.false. ! if true, no translation symmetries",None,symmetries,makefort10.x,None,makefort10_46,makefort10.f90:2211,
forces_sym,``logical``,``.false.``,Not used.,None,None,! forces_sym=.false. ! if true nosym_forces and notra_forces are active only for the ionic force components,None,symmetries,makefort10.x,None,makefort10_47,makefort10.f90:2543,
notra_forces,``logical``,"- ``.false.`` if no input
- ignore input

  + ``notra`` if forces_sym is .false.",Not used.,None,None,! notra_forces=.false.  ! if true do not use translation symmetries in forces if also forces_sym=.true.,None,symmetries,makefort10.x,None,makefort10_48,"makefort10.f90:2544, 2599 -- 2602",
nosym_forces,``logical``,"- ``.false.`` (no input)
- ``nosym`` (ignore input value) if forces_sym is .false.",Not used.,None,None,! nosym_forces=.false.  ! if true do not use point group symmetries in forces if also forces_sym=.true.,None,symmetries,makefort10.x,None,makefort10_49,"makefort10.f90:2545, 2599 -- 2602",
eqatoms,``logical``,``.true.``,"If eqatoms = .true., set the same value for all the exponents of the atomic basis if acting on the same type of atom. If eqatoms = .false., exponents corresponding to different atomic positions are equal only if related by spatial symmetries.
","If eqatoms = .true., set the same value for all the exponents of the atomic basis if acting on the same type of atom. If eqatoms = .false., exponents corresponding to different atomic positions are equal only if related by spatial symmetries.",Treating the same atoms equally (BOOLEAN)., eqatoms=.true.  ! All the same atoms have the same orbital coefficients,".. code-block:: text

     eqatoms=.true.
    ! if it is .true., set to the same value all the exponents of the atomic basis
    ! if acting on  the same type of atom,
    ! if it is false exponents corresponding to different atomic positions
    ! are equal only if related by spatial symmetries.
",symmetries,makefort10.x,makefort10_02,makefort10_50,makefort10.f90:2206,
eq_intatoms,``logical``,``.true.``,Not used.,None,None,None,"eq_intatoms=.true.  ! if .true. atoms are considered equal if the integer part of atomic number is equal, otherwise also the decimals are taken into account.",symmetries,makefort10.x,None,makefort10_51,makefort10.f90:2207,
rot_det,``logical``,``.true.``,"If true, enforces rotational symmetry on the pairing functions in the determinant part.","This flag is used to exclude rotation symmetries from the lambda matrix of the determinant. If rot_det = .false., makefort10.x uses only translations and inversion symmetry, if present. Note that the rotation symmetries are still used to determine the relation between the parameters of the orbitals, so the result is slightly different from nosym = .true. that does not use rotation for everything.",Taking the rotational symmetries into account (BOOLEAN).,".. code-block:: text

    ! rot_det=.true. ! if .false. use only translations and inversion symmetry, if
    present, to constraint the lamba matrix, and not rotations.
    Less general than nosym=.false. (see README)
",".. code-block:: text

     rot_det=.true.
    ! this flag is used to exclude rotation symmetries from the lambda
    ! matrix of the determinant. If it is .false. makefort10.x uses only
    ! translations and inversion symmetry if present.
    ! Notice that the rotation symmetries are still used to determine the
    ! relation between the parameter of the orbitals so the result is slightly
    ! different from nosym=.true. that do not use the rotation for everything
",symmetries,makefort10.x,makefort10_03,makefort10_52,makefort10.f90:2212,
